symbol,entry_time,entry_price,exit_time,exit_price,signal,score,position_size,pnl,ret,holding_s
TIAUSDT,2025-07-09 17:00:00,1.6300108500000001,2025-07-17 16:00:00,1.96108815,-1,-0.13947809684066467,0.0164,-0.005429667719999997,-0.20411355596191263,687600.0
TIAUSDT,2025-07-17 16:00:00,1.96108815,2025-07-20 08:00:00,2.03269001,1,0.1014171412311471,0.0034,0.0002434463240000004,0.03551129093814581,230400.0
TIAUSDT,2025-07-20 08:00:00,2.03269001,2025-07-22 08:00:00,2.1222364799999998,-1,-0.30129925998160384,0.0722,-0.006465255133999979,-0.045053185463335706,172800.0
TIAUSDT,2025-07-22 08:00:00,2.1222364799999998,2025-07-24 13:00:00,1.8130559200000003,1,0.09417758471185857,0.001,-0.0003091805599999995,-0.1466861961019535,190800.0
ARUSDT,2025-07-09 13:00:00,5.3443962,2025-07-15 01:00:00,6.7930373,-1,-0.1803106057783976,0.0303,-0.04389382532999999,-0.272057954123985,475200.0
ARUSDT,2025-07-15 01:00:00,6.7930373,2025-07-20 10:00:00,7.667699,1,0.09442336606736391,0.0006,0.0005247970199999998,0.12775855988601736,464400.0
ARUSDT,2025-07-20 10:00:00,7.667699,2025-07-22 07:00:00,8.2394711,-1,-0.28846079332254837,0.0676,-0.038651793959999965,-0.07556892869686194,162000.0
BIOUSDT,2025-07-09 13:00:00,0.053933815,2025-07-14 20:00:00,0.06966089199999999,-1,-0.1566262949114988,0.0221,-0.0003475684016999997,-0.29259956513367325,457200.0
XCNUSDT,2025-07-09 16:00:00,0.01379586,2025-07-12 13:00:00,0.016464938,-1,-0.18979850454617345,0.0336,-8.968102079999994e-05,-0.19446949012239892,248400.0
XCNUSDT,2025-07-12 13:00:00,0.016464938,2025-07-15 11:00:00,0.018514443999999998,1,0.09280118140038578,0.0003,6.148517999999998e-07,0.12347699469017129,252000.0
BIGTIMEUSDT,2025-07-09 13:00:00,0.052724178000000003,2025-07-22 04:00:00,0.06862057999999999,-1,-0.16274501350002443,0.0243,-0.00038628256859999955,-0.3025011822469756,1090800.0
BIDUSDT,2025-07-10 10:00:00,0.105108458,2025-07-11 01:00:00,0.106902061,-1,-0.10631135965722369,0.0025,-4.484007500000012e-06,-0.018064307041779692,54000.0
BIDUSDT,2025-07-11 01:00:00,0.106902061,2025-07-16 09:00:00,0.112456253,1,0.1192899584236475,0.0093,5.165398559999999e-05,0.05095589259967588,460800.0
BIDUSDT,2025-07-16 09:00:00,0.112456253,2025-07-18 22:00:00,0.122206651,-1,-0.10110541746392811,0.0017,-1.657567659999999e-05,-0.08770392032357678,219600.0
BIDUSDT,2025-07-18 22:00:00,0.122206651,2025-07-20 13:00:00,0.103059073,1,0.1179686983311422,0.0088,-0.0001684986864,-0.1576819632427371,140400.0
XLMUSDT,2025-07-11 20:00:00,0.384355272,2025-07-24 13:00:00,0.429141219,1,0.09423608652207408,0.0005,2.2392973499999998e-05,0.1155222653691088,1098000.0
WLDUSDT,2025-07-09 13:00:00,0.8803358200000001,2025-07-23 06:00:00,1.34020194,-1,-0.19557390862771726,0.0355,-0.016325247259999995,-0.5233757906386222,1184400.0
WLDUSDT,2025-07-23 06:00:00,1.34020194,2025-07-24 13:00:00,1.1420572800000002,1,0.09459501532380828,0.0006,-0.00011888679599999991,-0.1488468685099798,111600.0
BERAUSDT,2025-07-09 13:00:00,1.7084873,2025-07-17 16:00:00,2.3336999,-1,-0.16792427593561188,0.026,-0.0162555276,-0.3669451258431947,702000.0
BERAUSDT,2025-07-17 16:00:00,2.3336999,2025-07-19 09:00:00,2.2133358,1,0.1013070996552381,0.0017,-0.00020461897000000032,-0.052576511615739535,147600.0
BERAUSDT,2025-07-19 09:00:00,2.2133358,2025-07-23 20:00:00,2.3697107,-1,-0.10557105647465388,0.0024,-0.0003752997600000007,-0.07165123150314576,385200.0
BERAUSDT,2025-07-23 20:00:00,2.3697107,2025-07-24 13:00:00,2.2333298,1,0.10988136099697206,0.0062,-0.0008455615800000015,-0.058551708738117374,61200.0
ATOMUSDT,2025-07-09 13:00:00,4.2157349,2025-07-18 19:00:00,4.9134736,-1,-0.17276209661797032,0.0278,-0.019397135859999984,-0.16650820119168297,799200.0
ATOMUSDT,2025-07-18 19:00:00,4.9134736,2025-07-20 08:00:00,5.1024688000000005,1,0.09207598163263958,0.0002,3.779904000000016e-05,0.03746468209374337,133200.0
ATOMUSDT,2025-07-20 08:00:00,5.1024688000000005,2025-07-23 12:00:00,5.0025003,-1,-0.1856475120176151,0.0323,0.0032289825500000043,0.0185921825136883,273600.0
ATOMUSDT,2025-07-23 12:00:00,5.0025003,2025-07-24 13:00:00,4.650604400000001,1,0.10412299676955074,0.0043,-0.0015131523699999988,-0.07134400377747098,90000.0
XRPUSDT,2025-07-09 15:00:00,2.3709884900000002,2025-07-12 01:00:00,2.72301666,-1,-0.18927514805699278,0.0335,-0.011792943694999988,-0.1494731669869893,208800.0
XRPUSDT,2025-07-12 01:00:00,2.72301666,2025-07-16 10:00:00,2.9520141300000002,1,0.1038875200225801,0.0021,0.00048089468700000077,0.0830969772105619,378000.0
XRPUSDT,2025-07-16 10:00:00,2.9520141300000002,2025-07-17 19:00:00,3.35730689,-1,-0.09210905193682205,0.0002,-8.105855199999992e-05,-0.13829363822523424,118800.0
XRPUSDT,2025-07-17 19:00:00,3.35730689,2025-07-20 11:00:00,3.50964679,1,0.11363918904352784,0.0074,0.0011273152600000023,0.044375625461513975,230400.0
XRPUSDT,2025-07-20 11:00:00,3.50964679,2025-07-22 04:00:00,3.50175021,-1,-0.0937629071975849,0.0005,3.948290000000076e-06,0.0012499643048126084,147600.0
XRPUSDT,2025-07-22 04:00:00,3.50175021,2025-07-22 23:00:00,3.52824121,1,0.0918612163379192,0.0003,7.947300000000013e-06,0.006565074151876769,68400.0
XRPUSDT,2025-07-22 23:00:00,3.52824121,2025-07-23 20:00:00,3.18545535,-1,-0.09333483416627056,0.0004,0.0001371143440000001,0.0961548824463734,75600.0
XRPUSDT,2025-07-23 20:00:00,3.18545535,2025-07-24 13:00:00,3.15965182,1,0.11237223685964219,0.0071,-0.00018320506299999777,-0.009100421184682336,61200.0
BBUSDT,2025-07-09 13:00:00,0.08087573,2025-07-11 20:00:00,0.11084324300000001,-1,-0.17700639867893314,0.0291,-0.0008720546283000001,-0.37153777443492625,198000.0
BBUSDT,2025-07-11 20:00:00,0.11084324300000001,2025-07-21 04:00:00,0.125292401,1,0.09998087108926182,0.0015,2.1673736999999987e-05,0.12935668759709593,806400.0
BANKUSDT,2025-07-09 13:00:00,0.0616085119,2025-07-15 02:00:00,0.0612433675,-1,-0.38324291522266574,0.1004,3.6660497760000316e-05,0.004926849857900936,478800.0
BANKUSDT,2025-07-15 02:00:00,0.0612433675,2025-07-17 04:00:00,0.0613136004,1,0.09602927693562818,0.0008,5.618632000000124e-08,0.00014678377213665685,180000.0
BANKUSDT,2025-07-17 04:00:00,0.0613136004,2025-07-19 00:00:00,0.061206356399999995,-1,-0.09912968975649118,0.0013,1.3941720000000823e-07,0.0007491062227689099,158400.0
BANKUSDT,2025-07-19 00:00:00,0.061206356399999995,2025-07-20 05:00:00,0.062120358300000005,1,0.3123234572212974,0.0755,6.900714345000072e-05,0.01393312057373194,104400.0
AAVEUSDT,2025-07-09 16:00:00,297.82062700000006,2025-07-18 20:00:00,318.055388,-1,-0.20831328958681122,0.0399,-0.8073669638999974,-0.06894277885930289,792000.0
AAVEUSDT,2025-07-18 20:00:00,318.055388,2025-07-19 12:00:00,314.01576700000004,1,0.10236310128612365,0.0038,-0.015350559799999827,-0.013700998481434166,57600.0
AAVEUSDT,2025-07-19 12:00:00,314.01576700000004,2025-07-24 13:00:00,287.596253,-1,-0.23247818414861077,0.0484,1.2787044776000023,0.08313435494785217,435600.0
BANANAUSDT,2025-07-09 13:00:00,17.7856627,2025-07-15 02:00:00,21.957585299999998,-1,-0.16019467052258274,0.0234,-0.09762298883999997,-0.23556660965464046,478800.0
BANANAUSDT,2025-07-15 02:00:00,21.957585299999998,2025-07-20 05:00:00,23.2710166,1,0.10609729220396884,0.0025,0.0032835782500000034,0.05881674587870103,442800.0
BANANAUSDT,2025-07-20 05:00:00,23.2710166,2025-07-21 01:00:00,26.719013299999997,-1,-0.10557230118480777,0.0024,-0.008275192079999993,-0.14916699928786084,72000.0
BANANAUSDT,2025-07-21 01:00:00,26.719013299999997,2025-07-23 06:00:00,29.2782139,1,0.0940704377578044,0.0005,0.0012796003000000021,0.09478200254872453,190800.0
BCHUSDT,2025-07-09 13:00:00,507.68764799999997,2025-07-24 13:00:00,520.386069,-1,-0.16501275040610588,0.0251,-0.31873036710000135,-0.026012270930806762,1296000.0
SIGNUSDT,2025-07-09 13:00:00,0.065910221,2025-07-24 06:00:00,0.083505044,-1,-0.16025844062965489,0.0235,-0.0004134783404999999,-0.26795135796919867,1270800.0
SIGNUSDT,2025-07-24 06:00:00,0.083505044,2025-07-24 13:00:00,0.083964803,1,0.10768118555819901,0.0055,2.528674500000022e-06,0.004505763220722379,25200.0
BLURUSDT,2025-07-09 13:00:00,0.072738172,2025-07-21 16:00:00,0.112703801,-1,-0.1684578094830446,0.0262,-0.0010470994798000002,-0.5504450561666576,1047600.0
BLURUSDT,2025-07-21 16:00:00,0.112703801,2025-07-23 07:00:00,0.108927312,1,0.09373068329090539,0.0004,-1.5105956000000033e-06,-0.03450808904838984,140400.0
VINEUSDT,2025-07-09 13:00:00,0.029331198000000003,2025-07-20 00:00:00,0.040932276,-1,-0.17724242927869702,0.0292,-0.00033875147759999984,-0.39652008751909806,903600.0
CELOUSDT,2025-07-09 19:00:00,0.31109329999999996,2025-07-10 12:00:00,0.3029091,1,0.09985287807680396,0.0015,-1.2276299999999962e-05,-0.02730786326802916,61200.0
CELOUSDT,2025-07-10 12:00:00,0.3029091,2025-07-12 15:00:00,0.320096,-1,-0.35451620136052076,0.0903,-0.0015519770700000005,-0.05773946408344948,183600.0
CELOUSDT,2025-07-12 15:00:00,0.320096,2025-07-13 21:00:00,0.33190040000000004,1,0.11749229568938035,0.0087,0.00010269828000000041,0.03587768669399195,108000.0
CELOUSDT,2025-07-13 21:00:00,0.33190040000000004,2025-07-15 01:00:00,0.3250975,-1,-0.11826133441416567,0.0092,6.258668000000052e-05,0.01949681169411081,100800.0
CELOUSDT,2025-07-15 01:00:00,0.3250975,2025-07-16 18:00:00,0.34889529999999996,1,0.09863586825031706,0.0025,5.949449999999995e-05,0.0722020393881835,147600.0
CELOUSDT,2025-07-16 18:00:00,0.34889529999999996,2025-07-22 01:00:00,0.3851155,-1,-0.1819739524368496,0.0309,-0.0011192041800000012,-0.10481395220858533,457200.0
